종목명,업종명
ITX-AI,통신장비
JTC,유통
JW신약,제약
JYP Ent.,오락·문화
KBG,화학
KBI메탈,금속
KB오토시스,운송장비·부품
KB제25호스팩,금융
KB제26호스팩,금융
KCC건설,건설
KCI,화학
KD,건설
KG ETS,화학
KG모빌리언스,소프트웨어
KG이니시스,소프트웨어
KH 건설,건설
KH 전자,일반전기전자
KH바텍,IT부품
KNN,방송서비스
KX,방송서비스
KX하이텍,반도체
LB루셈,반도체
LB세미콘,반도체
LB인베스트먼트,금융
LS마린솔루션,건설
MDS테크,소프트웨어
MIT,일반전기전자
NEW,오락·문화
NE능률,출판·매체복제
NHN KCP,소프트웨어
NHN벅스,디지털컨텐츠
PN풍년,유통
RFHIC,일반전기전자
RF머트리얼즈,기타제조
S&K폴리텍,IT부품
SAMG엔터,오락·문화
SBI인베스트먼트,금융
SBI핀테크솔루션즈,출판·매체복제
SBS콘텐츠허브,오락·문화
SBW생명과학,IT부품
SCI평가정보,기타서비스
SDN,유통
SFA반도체,반도체
SG,비금속
SG&G,운송
SGA,소프트웨어
SGA솔루션즈,소프트웨어
SGC이테크건설,건설
SM C&C,방송서비스
SM Life Design,출판·매체복제
SV인베스트먼트,금융
THE E&M,인터넷
THE MIDONG,정보기기
TJ미디어,일반전기전자
TKG애강,화학
TPC,기계·장비
TS인베스트먼트,금융
TS트릴리온,화학
YBM넷,기타서비스
YTN,방송서비스
YW,유통
iMBC,디지털컨텐츠
가비아,인터넷
가온그룹,통신장비
가온칩스,반도체
감성코퍼레이션,유통
강스템바이오텍,제약
강원에너지,금속
갤럭시아머니트리,소프트웨어
경남스틸,금속
경남제약,제약
경동제약,제약
경창산업,운송장비·부품
고려시멘트,비금속
고려신용정보,기타서비스
고려제약,제약
고바이오랩,기타서비스
고영,기계·장비
골드앤에스,출판·매체복제
골든센츄리,금융
골프존,소프트웨어
골프존뉴딘홀딩스,유통
공구우먼,섬유·의류
광림,운송장비·부품
광무,통신장비
광진실업,금속
교보11호스팩,금융
교보12호스팩,금융
교보13호스팩,금융
교보14호스팩,금융
구영테크,운송장비·부품
국보디자인,건설
국순당,음식료·담배
국영지앤엠,비금속
국일신동,금속
국일제지,종이·목재
국전약품,제약
그래디언트,유통
그리티,섬유·의류
그린생명과학,제약
그린플러스,금속
글로벌에스엠,금융
글로벌텍스프리,금융
글로본,유통
금강철강,금속
금양그린파워,건설
금화피에스시,건설
기가레인,반도체
기가비스,반도체
기산텔레콤,통신장비
까스텔바작,유통
꿈비,기타제조
나노,화학
나노브릭,화학
나노신소재,화학
나노씨엠에스,일반전기전자
나노엔텍,의료·정밀기기
나노캠텍,화학
나노팀,기계·장비
나라셀라,유통
나라엠앤디,기계·장비
나래나노텍,기계·장비
나무가,IT부품
나무기술,출판·매체복제
나스미디어,기타서비스
나우IB,금융
나이벡,제약
나이스디앤비,기타서비스
나이스정보통신,통신서비스
나인테크,IT부품
남화산업,오락·문화
남화토건,건설
내츄럴엔도텍,기타서비스
네오리진,소프트웨어
네오셈,반도체
네오오토,운송장비·부품
네오위즈,디지털컨텐츠
네오위즈홀딩스,디지털컨텐츠
네오이뮨텍,기타서비스
네오크레마,음식료·담배
네오티스,운송장비·부품
네오팜,화학
네오펙트,의료·정밀기기
네온테크,기계·장비
네이블,소프트웨어
네이처셀,제약
네패스,반도체
네패스아크,반도체
넥스턴바이오,기계·장비
넥스트아이,의료·정밀기기
넥스트칩,반도체
넥스틴,반도체
넥슨게임즈,디지털컨텐츠
넵튠,출판·매체복제
노랑풍선,기타서비스
노바렉스,음식료·담배
노바텍,기타제조
